6202 6211 6220 6229
# tracer: nop
#
# entries-in-buffer/entries-written: 23674/23674   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
       rcu_sched-7     [000] d... 79524.162818: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=001
       rcu_sched-7     [000] d... 79524.162820: sched_switch: prev_comm=rcu_sched prev_pid=7 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] dNh. 79524.636097: sched_wakeup: comm=watchdog/0 pid=26 prio=0 success=1 target_cpu=000
          <idle>-0     [000] d... 79524.636101: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=watchdog/0 next_pid=26 next_prio=0
      watchdog/0-26    [000] d... 79524.636105: sched_switch: prev_comm=watchdog/0 prev_pid=26 prev_prio=0 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79524.793434: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcu_sched next_pid=7 next_prio=120
       rcu_sched-7     [000] d... 79524.793437: sched_switch: prev_comm=rcu_sched prev_pid=7 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] dNs. 79524.796191: sched_wakeup: comm=kworker/0:0 pid=4455 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 79524.796196: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] d... 79524.796202: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/0:0 next_pid=4455 next_prio=120
           <...>-4455  [000] d... 79524.796206: sched_switch: prev_comm=kworker/0:0 prev_pid=4455 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79524.873415: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcuos/4 next_pid=12 next_prio=120
         rcuos/4-12    [000] d... 79524.873419: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=002
         rcuos/4-12    [000] d... 79524.873423: sched_switch: prev_comm=rcuos/4 prev_pid=12 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79524.874419: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=tmux next_pid=6205 next_prio=120
           <...>-6205  [000] dNs. 79524.875242: sched_wakeup: comm=kworker/0:0 pid=4455 prio=120 success=1 target_cpu=000
           <...>-6205  [000] d... 79524.875246: sched_switch: prev_comm=tmux prev_pid=6205 prev_prio=120 prev_state=R ==> next_comm=kworker/0:0 next_pid=4455 next_prio=120
           <...>-4455  [000] d... 79524.875253: sched_wakeup: comm=kworker/3:1 pid=4869 prio=120 success=1 target_cpu=003
           <...>-4455  [000] d... 79524.875256: sched_switch: prev_comm=kworker/0:0 prev_pid=4455 prev_prio=120 prev_state=S ==> next_comm=tmux next_pid=6205 next_prio=120
           <...>-6205  [000] dN.. 79524.875312: sched_wakeup: comm=migration/0 pid=25 prio=0 success=1 target_cpu=000
           <...>-6205  [000] d... 79524.875313: sched_switch: prev_comm=tmux prev_pid=6205 prev_prio=120 prev_state=R ==> next_comm=migration/0 next_pid=25 next_prio=0
           <...>-25    [000] d... 79524.875325: sched_switch: prev_comm=migration/0 prev_pid=25 prev_prio=0 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79524.876248: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcu_sched next_pid=7 next_prio=120
       rcu_sched-7     [000] d... 79524.876259: sched_switch: prev_comm=rcu_sched prev_pid=7 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] dNs. 79524.879242: sched_wakeup: comm=kworker/0:0 pid=4455 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 79524.879244: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] d... 79524.879248: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/0:0 next_pid=4455 next_prio=120
           <...>-4455  [000] d... 79524.879253: sched_switch: prev_comm=kworker/0:0 prev_pid=4455 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79524.879268: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcuos/5 next_pid=13 next_prio=120
         rcuos/5-13    [000] d... 79524.879275: sched_switch: prev_comm=rcuos/5 prev_pid=13 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79524.879845: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=tmux next_pid=2397 next_prio=120
            tmux-2397  [000] d... 79524.881156: sched_switch: prev_comm=tmux prev_pid=2397 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79524.882264: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcuos/3 next_pid=11 next_prio=120
         rcuos/3-11    [000] d... 79524.882268: sched_switch: prev_comm=rcuos/3 prev_pid=11 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79524.885260: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcuos/5 next_pid=13 next_prio=120
         rcuos/5-13    [000] d... 79524.885308: sched_switch: prev_comm=rcuos/5 prev_pid=13 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79524.891268: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcuos/2 next_pid=10 next_prio=120
         rcuos/2-10    [000] d... 79524.891272: sched_wakeup: comm=rcuos/3 pid=11 prio=120 success=1 target_cpu=003
         rcuos/2-10    [000] d... 79524.891286: sched_switch: prev_comm=rcuos/2 prev_pid=10 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79524.897275: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcuos/5 next_pid=13 next_prio=120
         rcuos/5-13    [000] d... 79524.897288: sched_switch: prev_comm=rcuos/5 prev_pid=13 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79524.900260: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcu_sched next_pid=7 next_prio=120
       rcu_sched-7     [000] d... 79524.900264: sched_switch: prev_comm=rcu_sched prev_pid=7 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] dNs. 79524.903257: sched_wakeup: comm=kworker/0:0 pid=4455 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 79524.903259: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] d... 79524.903266: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/0:0 next_pid=4455 next_prio=120
           <...>-4455  [000] d... 79524.903271: sched_switch: prev_comm=kworker/0:0 prev_pid=4455 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79524.909273: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcuos/0 next_pid=8 next_prio=120
         rcuos/0-8     [000] d... 79524.909278: sched_switch: prev_comm=rcuos/0 prev_pid=8 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] dNh. 79525.135327: sched_wakeup: comm=3on6 pid=6202 prio=120 success=1 target_cpu=000
          <idle>-0     [000] d... 79525.135330: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=3on6 next_pid=6202 next_prio=120
            3on6-6202  [000] .... 79525.135332: sys_nanosleep -> 0x0
            3on6-6202  [000] d... 79525.135374: sched_wakeup_new: comm=3on6 pid=6211 prio=120 success=1 target_cpu=000
            3on6-6202  [000] .... 79525.135378: sys_nanosleep(rqtp: 7fff542aa040, rmtp: 7fff542aa040)
            3on6-6202  [000] d... 79525.135380: sched_switch: prev_comm=3on6 prev_pid=6202 prev_prio=120 prev_state=S ==> next_comm=3on6 next_pid=6211 next_prio=120
            3on6-6211  [000] d.s. 79525.135395: sched_wakeup: comm=kworker/0:0 pid=4455 prio=120 success=1 target_cpu=000
            3on6-6211  [000] d... 79525.135420: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=001
            3on6-6211  [000] .... 79525.135449: sys_nanosleep(rqtp: 7f5fa9584d40, rmtp: 7f5fa9584d40)
            3on6-6211  [000] d... 79525.135452: sched_switch: prev_comm=3on6 prev_pid=6211 prev_prio=120 prev_state=S ==> next_comm=kworker/0:0 next_pid=4455 next_prio=120
           <...>-4455  [000] d... 79525.135460: sched_wakeup: comm=tmux pid=2397 prio=120 success=1 target_cpu=001
           <...>-4455  [000] d... 79525.135465: sched_switch: prev_comm=kworker/0:0 prev_pid=4455 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79525.138405: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcu_sched next_pid=7 next_prio=120
       rcu_sched-7     [000] d... 79525.138409: sched_switch: prev_comm=rcu_sched prev_pid=7 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] dNs. 79525.141401: sched_wakeup: comm=kworker/0:0 pid=4455 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 79525.141403: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] d... 79525.141409: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/0:0 next_pid=4455 next_prio=120
           <...>-4455  [000] d... 79525.141412: sched_switch: prev_comm=kworker/0:0 prev_pid=4455 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79525.206449: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=jbd2/dm-0-8 next_pid=501 next_prio=120
     jbd2/dm-0-8-501   [000] d... 79525.206511: sched_switch: prev_comm=jbd2/dm-0-8 prev_pid=501 prev_prio=120 prev_state=D ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79525.543646: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcu_sched next_pid=7 next_prio=120
       rcu_sched-7     [000] d... 79525.543651: sched_switch: prev_comm=rcu_sched prev_pid=7 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] dNs. 79525.546643: sched_wakeup: comm=kworker/0:0 pid=4455 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 79525.546648: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] d... 79525.546653: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/0:0 next_pid=4455 next_prio=120
           <...>-4455  [000] d... 79525.546660: sched_switch: prev_comm=kworker/0:0 prev_pid=4455 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79525.719472: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=usb-storage next_pid=350 next_prio=120
     usb-storage-350   [000] d... 79525.719484: sched_switch: prev_comm=usb-storage prev_pid=350 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79525.720085: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=usb-storage next_pid=350 next_prio=120
     usb-storage-350   [000] d... 79525.720092: sched_switch: prev_comm=usb-storage prev_pid=350 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79525.720710: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=usb-storage next_pid=350 next_prio=120
     usb-storage-350   [000] d... 79525.720716: sched_switch: prev_comm=usb-storage prev_pid=350 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79525.875856: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=tmux next_pid=6212 next_prio=120
           <...>-6212  [000] dNs. 79525.876846: sched_wakeup: comm=kworker/0:0 pid=4455 prio=120 success=1 target_cpu=000
           <...>-6212  [000] d... 79525.876852: sched_switch: prev_comm=sh prev_pid=6212 prev_prio=120 prev_state=R ==> next_comm=kworker/0:0 next_pid=4455 next_prio=120
           <...>-4455  [000] d... 79525.876857: sched_switch: prev_comm=kworker/0:0 prev_pid=4455 prev_prio=120 prev_state=D ==> next_comm=sh next_pid=6212 next_prio=120
           <...>-6212  [000] d... 79525.876865: sched_switch: prev_comm=sh prev_pid=6212 prev_prio=120 prev_state=R ==> next_comm=kworker/0:0 next_pid=4455 next_prio=120
           <...>-4455  [000] d... 79525.876869: sched_wakeup: comm=kworker/1:0 pid=4756 prio=120 success=1 target_cpu=001
           <...>-4455  [000] d... 79525.876871: sched_switch: prev_comm=kworker/0:0 prev_pid=4455 prev_prio=120 prev_state=S ==> next_comm=sh next_pid=6212 next_prio=120
           <...>-6212  [000] d... 79525.877588: sched_wakeup_new: comm=sh pid=6215 prio=120 success=1 target_cpu=002
           <...>-6212  [000] d... 79525.877743: sched_wakeup_new: comm=sh pid=6216 prio=120 success=1 target_cpu=007
           <...>-6212  [000] d... 79525.877800: sched_switch: prev_comm=sh prev_pid=6212 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79525.878695: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=sh next_pid=6212 next_prio=120
           <...>-6212  [000] d... 79525.878708: sched_switch: prev_comm=sh prev_pid=6212 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79525.879055: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=sh next_pid=6212 next_prio=120
           <...>-6212  [000] .... 79525.879366: sched_process_exit: comm=sh pid=6212 prio=120
           <...>-6212  [000] d... 79525.879392: sched_switch: prev_comm=sh prev_pid=6212 prev_prio=120 prev_state=x ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79525.880865: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcuos/0 next_pid=8 next_prio=120
         rcuos/0-8     [000] d... 79525.880869: sched_wakeup: comm=rcuos/1 pid=9 prio=120 success=1 target_cpu=001
         rcuos/0-8     [000] d... 79525.880871: sched_switch: prev_comm=rcuos/0 prev_pid=8 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79525.883856: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcu_sched next_pid=7 next_prio=120
       rcu_sched-7     [000] d... 79525.883861: sched_switch: prev_comm=rcu_sched prev_pid=7 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] dNs. 79525.886850: sched_wakeup: comm=kworker/0:0 pid=4455 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 79525.886852: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] d... 79525.886859: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/0:0 next_pid=4455 next_prio=120
           <...>-4455  [000] d... 79525.886867: sched_switch: prev_comm=kworker/0:0 prev_pid=4455 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79525.892869: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcuos/0 next_pid=8 next_prio=120
         rcuos/0-8     [000] d... 79525.892872: sched_wakeup: comm=rcuos/1 pid=9 prio=120 success=1 target_cpu=001
         rcuos/0-8     [000] d... 79525.892885: sched_switch: prev_comm=rcuos/0 prev_pid=8 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79525.898871: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcuos/4 next_pid=12 next_prio=120
         rcuos/4-12    [000] d... 79525.898874: sched_wakeup: comm=rcuos/5 pid=13 prio=120 success=1 target_cpu=001
         rcuos/4-12    [000] d... 79525.898880: sched_switch: prev_comm=rcuos/4 prev_pid=12 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79525.898892: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcuos/4 next_pid=12 next_prio=120
         rcuos/4-12    [000] d... 79525.898895: sched_switch: prev_comm=rcuos/4 prev_pid=12 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79525.901861: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcu_sched next_pid=7 next_prio=120
       rcu_sched-7     [000] d... 79525.901865: sched_switch: prev_comm=rcu_sched prev_pid=7 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] dNs. 79525.904858: sched_wakeup: comm=kworker/0:0 pid=4455 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 79525.904860: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] d... 79525.904866: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/0:0 next_pid=4455 next_prio=120
           <...>-4455  [000] d... 79525.904872: sched_switch: prev_comm=kworker/0:0 prev_pid=4455 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79525.910879: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcuos/4 next_pid=12 next_prio=120
         rcuos/4-12    [000] d... 79525.910881: sched_wakeup: comm=rcuos/5 pid=13 prio=120 success=1 target_cpu=001
         rcuos/4-12    [000] d... 79525.910883: sched_switch: prev_comm=rcuos/4 prev_pid=12 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79525.919872: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcu_sched next_pid=7 next_prio=120
       rcu_sched-7     [000] d... 79525.919875: sched_switch: prev_comm=rcu_sched prev_pid=7 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] dNs. 79525.922868: sched_wakeup: comm=kworker/0:0 pid=4455 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 79525.922870: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] d... 79525.922876: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/0:0 next_pid=4455 next_prio=120
           <...>-4455  [000] d... 79525.922879: sched_switch: prev_comm=kworker/0:0 prev_pid=4455 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] dNh. 79526.090797: sched_wakeup: comm=gnome-settings- pid=20691 prio=120 success=1 target_cpu=000
          <idle>-0     [000] d... 79526.090801: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=gnome-settings- next_pid=20691 next_prio=120
           <...>-20691 [000] d... 79526.090887: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=002
           <...>-20691 [000] d.s. 79526.090974: sched_wakeup: comm=kworker/0:0 pid=4455 prio=120 success=1 target_cpu=000
           <...>-20691 [000] d... 79526.091514: sched_switch: prev_comm=gnome-settings- prev_pid=20691 prev_prio=120 prev_state=S ==> next_comm=kworker/0:0 next_pid=4455 next_prio=120
           <...>-4455  [000] d... 79526.091523: sched_switch: prev_comm=kworker/0:0 prev_pid=4455 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79526.101992: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcuos/0 next_pid=8 next_prio=120
         rcuos/0-8     [000] d... 79526.101997: sched_switch: prev_comm=rcuos/0 prev_pid=8 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] dNh. 79526.136039: sched_wakeup: comm=3on6 pid=6202 prio=120 success=1 target_cpu=000
          <idle>-0     [000] d... 79526.136043: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=3on6 next_pid=6202 next_prio=120
            3on6-6202  [000] .... 79526.136045: sys_nanosleep -> 0x0
            3on6-6202  [000] d... 79526.136078: sched_wakeup_new: comm=3on6 pid=6220 prio=120 success=1 target_cpu=000
            3on6-6202  [000] .... 79526.136081: sys_nanosleep(rqtp: 7fff542aa040, rmtp: 7fff542aa040)
            3on6-6202  [000] d... 79526.136083: sched_switch: prev_comm=3on6 prev_pid=6202 prev_prio=120 prev_state=S ==> next_comm=3on6 next_pid=6220 next_prio=120
            3on6-6220  [000] d... 79526.136110: sched_wakeup: comm=rcuos/0 pid=8 prio=120 success=1 target_cpu=001
            3on6-6220  [000] d... 79526.136118: sched_wakeup: comm=kworker/0:0 pid=4455 prio=120 success=1 target_cpu=000
            3on6-6220  [000] .... 79526.136130: sys_nanosleep(rqtp: 7f5fa8d83d40, rmtp: 7f5fa8d83d40)
            3on6-6220  [000] d... 79526.136132: sched_switch: prev_comm=3on6 prev_pid=6220 prev_prio=120 prev_state=S ==> next_comm=kworker/0:0 next_pid=4455 next_prio=120
           <...>-4455  [000] d... 79526.136142: sched_switch: prev_comm=kworker/0:0 prev_pid=4455 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79526.139008: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=rcu_sched next_pid=7 next_prio=120
       rcu_sched-7     [000] d... 79526.139012: sched_switch: prev_comm=rcu_sched prev_pid=7 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] dNs. 79526.142004: sched_wakeup: comm=kworker/0:0 pid=4455 prio=120 success=1 target_cpu=000
          <idle>-0     [000] dNs. 79526.142007: sched_wakeup: comm=rcu_sched pid=7 prio=120 success=1 target_cpu=001
          <idle>-0     [000] d... 79526.142013: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/0:0 next_pid=4455 next_prio=120
           <...>-4455  [000] d... 79526.142017: sched_switch: prev_comm=kworker/0:0 prev_pid=4455 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0     [000] d... 79526.502344: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=NSS SSL ThreadW next_pid=15189 next_prio=120
           <...>-15189 [000] .... 79526.502347: sys_futex -> 0x0
           <...>-15189 [000] .... 79526.502355: sys_futex(uaddr: c3c5e708208, op: 81, val: 1, utime: 1f5a072, uaddr2: 0, val3: 3b8266aadfa995)
           <...>-15189 [000] .... 79526.502356: sys_futex -> 0x0
           <...>-15189 [000] d... 79526.502410: sched_wakeup: comm=Chrome_IOThread pid=15064 prio=120 success=1 target_cpu=002
